date,site,starttime,endtime,soilmoist1,soilmoist5,starttemp,startlum,startwind-min,startwind-max,startrh-min,startrh-max,endtemp,endlum,endwind-min,endwind-max,endrh-min,endrh-max,round,notes
7/15/2020,Gothic Town,12:40,13:24,10.8,7.8,,,,,,,,,,,,,,Soil moisture taken 7/20/20. Soil moisture 1 taken at T2 S3.
7/16/2020,Wash 3C,11:05,12:03,8.9,8.4,,,,,,,,,,,,,,Soil moisture taken 7/18/20
7/16/2020,Pfeiler,10:16,11:26,8.6,11.7,,,,,,,,,,,,,,
7/17/2020,Ohio Pass High,10:00,10:38,6.3,6.4,,,,,,,,,,,,,,
7/17/2020,Kebler Pass,11:10,11:37,24.3,21.8,,,,,,,,,,,,,,
7/17/2020,Lake Irwin,12:13,12:40,11.3,10.2,,,,,,,,,,,,,,
7/18/2020,Meridian,10:13,11:22,6.9,5.6,,,,,,,,,,,,,,
7/21/2020,Avery Picnic,10:00,12:10,12.9,7.8,,,,,,,,,,,,,,
7/21/2020,403 Bench,10:29,11:28,8.4,9.2,,,,,,,,,,,,,,
7/21/2020,Rustlers Gulch,12:51,13:30,9.9,10.9,,,,,,,,,,,,,,
7/23/2020,Virginia Basin,10:43,13:26,7.7,8,,,,,,,,,,,,,,
7/23/2020,Emerald Lake Hill,11:44,12:24,6.7,9.2,,,,,,,,,,,,,,Soil moisture taken 7/22/20
7/23/2020,Emerald Lake Shore,10:00,11:13,7.5,8.7,,,,,,,,,,,,,,Soil moisture taken 7/22/20
7/23/2020,Pfeiler,13:40,14:42,9.5,8.5,,,,,,,,,,,,,,Soil moisture taken 7/24/20
7/27/2020,Lake Irwin,10:30,11:02,11.6,14.3,,,,,,,,,,,,,,Ground was visibly wet when we soil moistured
7/27/2020,Kebler Pass,9:35,10:33,25.5,27.6,,,,,,,,,,,,,,
7/27/2020,Ohio Pass High,11:21,11:55,8.8,7.6,,,,,,,,,,,,,,
7/27/2020,Brush Creek Trail,12:30,13:00,17,15.2,,,,,,,,,,,,,,Sample times are estimates.
7/28/2020,Wash 3C,12:01,12:35,8.6,11,,,,,,,,,,,,,,
7/28/2020,Pfeiler,11:11,11:40,14.9,20.9,,,,,,,,,,,,,,
7/29/2020,Virginia Basin,10:32,13:03,15.8,12,,,,,,,,,,,,,,
7/29/2020,Emerald Lake Hill,11:35,12:20,7.9,9,,,,,,,,,,,,,,Soil moisture taken 7/30/20
7/29/2020,Emerald Lake Shore,10:00,11:00,7.3,9.8,,,,,,,,,,,,,,Soil moisture taken 7/30/20
7/30/2020,403 Bench,11:25,12:25,11.4,10.1,,,,,,,,,,,,,,
7/31/2020,Ohio Pass High,9:44,10:16,4.9,5.8,,,,,,,,,,,,,,
7/31/2020,Kebler Pass,10:40,11:10,20.6,21.9,,,,,,,,,,,,,,
7/31/2020,Lake Irwin,11:38,12:08,8.4,10.3,,,,,,,,,,,,,,
5/6/2021,Ohio Pass Low,12:34,12:54,22.5,27.2,,,,,,,,,,,,,,No HOBO
5/14/2021,Brush Creek Hill,11:02,11:38,13.3,17,,,,,,,,,,,,,,No HOBO
5/14/2021,Ohio Pass Low,13:25,13:55,17.1,19,,,,,,,,,,,,,,No HOBO
