date,site,starttime,endtime,soilmoist1,soilmoist5,starttemp,startlum,startwind-min,startwind-max,startrh-min,startrh-max,endtemp,endlum,endwind-min,endwind-max,endrh-min,endrh-max,round,notes
7/18/2022,Kebler Pass,12:00,12:38,19,15.7,,,0,2.2,15.2,24.9,,,0,2.7,10.4,17.2,2,
7/18/2022,Kebler Pass,14:00,14:35,19,15.7,,,1.2,4,10.1,19.1,,,0.4,3.8,17.4,22.4,3,
7/19/2022,Virginia Basin,11:33,13:50,11.4,10.9,,,0,1.8,36.3,40.2,,,0,1.5,23.9,33.6,1,
7/20/2022,Ohio Pass High,10:00,10:52,10.4,5,,,0,2,26.2,36.6,,,0,4.3,20.6,24.7,1,
7/20/2022,Ohio Pass High,12:00,12:55,10.4,5,,,0,1.5,19.7,34.9,,,0,4.3,20.6,34.1,2,
7/20/2022,Ohio Pass High,14:00,14:48,10.4,5,,,0,2.4,12.7,18.4,,,0.3,4.6,17.2,22.5,3,
7/20/2022,Ohio Pass Low,10:08,11:22,15.2,14.3,,,0.3,1.9,23.2,37.5,,,0,1.6,21.8,31.6,1,
7/20/2022,Ohio Pass Low,12:22,13:22,15.2,14.3,,,0,1.3,16.7,28.1,,,0,1.6,15.3,30.8,2,
7/21/2022,Avery Picnic,10:30,12:42,13.2,11.3,,,0,2.3,38.6,50.7,,,0,3.2,23,35.8,1,
7/22/2022,Rustlers Gulch,10:00,10:39,11.5,7.6,,,0.3,2,26.4,38.1,,,0.5,3.2,22.2,27.4,1,
7/22/2022,Rustlers Gulch,12:00,12:37,11.5,7.6,,,0,0.3,17,23.3,,,0,1,7.7,13.6,2,
7/22/2022,Rustlers Gulch,14:00,14:39,11.5,7.6,,,0,2.6,12.6,21.2,,,3.1,7.7,13.4,27.6,3,
7/22/2022,Stupid Falls,10:11,10:38,4.9,10,,,0,0.3,21.2,35.5,,,0,3.4,16.7,32,1,
7/22/2022,Stupid Falls,12:01,12:41,4.9,10,,,0.3,1.9,11.1,20.4,,,0.8,4.8,17.4,22.9,2,
7/22/2022,Stupid Falls,14:10,14:34,4.9,10,,,0,2.7,13.5,20,,,0.5,3.5,15.9,22.3,3,
7/23/2022,Brush Creek Hill,10:10,11:23,7,7.9,,,0,1,8.8,12.3,,,0,1.3,6.8,9.5,1,
7/23/2022,Brush Creek Hill,12:05,13:05,7,7.9,,,0,2,20.9,29.6,,,1.6,4.5,6.2,9.9,2,
7/23/2022,Brush Creek Hill,13:55,14:50,7,7.9,,,0,1.1,3.8,7.2,,,0.8,3.2,11.9,16.9,3,
7/25/2022,Kebler Pass,10:00,10:32,23.4,17.6,,,0,3.5,38.7,42.9,,,0,2.2,46.1,50.6,1,
7/25/2022,Kebler Pass,11:58,12:39,23.4,17.6,,,0,1.7,47.4,51.6,,,0,1.2,34.7,40,2,
7/25/2022,Kebler Pass,14:00,14:48,23.4,17.6,,,0,1.9,42.1,51.5,,,0,4.4,15.7,21.4,3,
7/25/2022,Gothic Town,10:50,12:47,11.7,12.4,,,0,1.4,43.1,49.1,,,0,0.5,32.4,36.3,1,
7/26/2022,Stupid Falls,10:00,10:38,7.1,10.2,,,0,1.3,33,42.9,,,0,1.6,24.7,37.9,1,
7/26/2022,Stupid Falls,12:00,12:44,7.1,10.2,,,0,0,15.1,32,,,0,0,39.3,44.8,2,
7/26/2022,Ohio Pass High,10:13,10:58,7.4,6.4,,,0,1.4,35.2,44.4,,,0,1,13.7,21,1,
7/26/2022,Ohio Pass High,11:55,12:40,7.4,6.4,,,0,0,18.4,23.3,,,1,2.4,16.4,30.8,2,
7/26/2022,Ohio Pass High,13:46,14:26,7.4,6.4,,,0.4,2.6,8.1,13.9,,,0,2.1,28.6,34.3,3,
7/27/2022,Virginia Basin,11:43,14:38,11.7,7.4,,,0,0,43,48.1,,,0,1.4,7.8,16.3,1,
8/1/2022,Avery Picnic,10:21,12:29,14.7,15.5,,,0,2.3,57.8,64.6,,,0,0.6,54.3,64.8,1,
8/1/2022,Rustlers Gulch,10:01,10:42,13.7,10.4,,,0.7,2.1,38.8,47.8,,,1,2.2,24.8,33.6,1,
8/1/2022,Rustlers Gulch,12:05,12:43,13.7,10.4,,,0,1.3,17.4,24.6,,,0,0.4,30,35.8,2,
8/1/2022,Rustlers Gulch,13:53,14:33,13.7,10.4,,,0,1.4,31.3,40.7,,,0,1,29.8,34.8,3,
8/2/2022,Virginia Basin,10:35,11:58,14.5,10.4,,,0,1.2,32.4,42.9,,,,,,,1,Rained out so no end conditions
8/3/2022,Ohio Pass High,12:00,12:40,10.2,7.6,,,0,2.3,13.8,25.5,,,0.6,4.4,14.4,27.8,2,
8/3/2022,Ohio Pass High,13:53,14:32,10.2,7.6,,,0,0.3,19.1,26.3,,,0,1.3,24.4,30.8,3,
8/3/2022,Kebler Pass,10:10,11:20,23.6,29.2,,,0,3.7,42,57.2,,,0,3.3,27.7,43.7,1,
8/3/2022,Kebler Pass,11:56,12:53,23.6,29.2,,,0,0.9,20.8,29.4,,,0.4,4.2,20.8,31.7,2,
8/3/2022,Kebler Pass,13:55,14:42,23.6,29.2,,,0,2.1,26.7,33.1,,,0,2.8,15.5,23.6,3,
8/3/2022,Brush Creek Hill,10:10,10:45,,,,,0,0,33.7,38.8,,,0,1.1,11.7,15.1,1,
8/4/2022,Ohio Pass Low,10:20,10:53,17.6,16.6,,,0,1.6,47.1,58.6,,,0,1.8,38.4,41.3,1,
8/4/2022,Ohio Pass Low,12:01,12:22,17.6,16.6,,,0,3,24.4,41.3,,,0,0.9,16.4,22.8,2,
8/4/2022,Ohio Pass Low,13:59,14:23,17.6,16.6,,,0,1.3,19.1,33.1,,,0,1.4,16.7,22.5,3,
8/5/2022,Avery Picnic,10:02,11:39,21.3,17.4,,,0,1.9,51.5,57.1,,,0,0.3,44.6,53,1,
8/8/2022,Gothic Town,10:00,10:56,18.6,11.9,,,0,1,11.9,19.7,,,0,2.1,11.1,15.3,1,
8/8/2022,Ohio Pass Low,10:01,10:34,12.3,11.1,,,0,1.8,36.6,50.2,,,0,2.3,32.7,37.2,1,
8/8/2022,Ohio Pass Low,12:01,12:33,12.3,11.1,,,0,1,22.4,34.8,,,0,2.2,12,23.3,2,
8/8/2022,Ohio Pass Low,14:01,14:36,12.3,11.1,,,0,1.7,12,26.4,,,0,1.3,14.2,21.7,3,
8/9/2022,Virginia Basin,10:21,12:19,8.5,11.1,,,0.3,1.7,31.8,34.2,,,0,1.6,14.9,28.1,1,
8/10/2022,Kebler Pass,10:08,10:58,17.1,19.4,,,0,1.6,25,33,,,1,2.2,20.3,23.4,1,
8/10/2022,Kebler Pass,12:02,12:52,17.1,19.4,,,1.1,3.1,14.4,17.6,,,0,1.6,13.8,20.8,2,
8/10/2022,Kebler Pass,13:45,14:33,17.1,19.4,,,0,0.1,10.1,12.4,,,1.4,5.5,20.4,22.8,3,
8/10/2022,Rustlers Gulch,10:00,11:02,,,,,1.1,2.8,37,45.7,,,0.3,1.7,31.6,34.7,1,
8/10/2022,Rustlers Gulch,12:00,12:39,,,,,0,0,17.7,28.7,,,0,1.4,18.4,27.2,2,
8/10/2022,Rustlers Gulch,13:55,14:58,,,,,0,0,21.1,25.5,,,0,1.9,28.9,40.1,3,
6/12/2023,Avery Picnic,10:55,11:30,,,,,,,,,,,,,,,,Network sampling (not part of gradients project); nothing caught; 'control' round to pair with Annie Colgan's manipulation rounds
6/14/2023,Gothic Town,10:33,11:05,,,,,,,,,,,,,,,1,cloudy
6/14/2023,Gothic Town,12:30,13:00,,,,,,,,,,,,,,,2,
